codpanelista2,wave,sex,age,education,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,immigeco,immicult,polintr,constpref,populisma,populismd,populismf,populismi,populismj,populismn,lrself,femstrike,femdemonstrate,feminfo,femtalk,vote2016,voteintentionspain,hhincome,livingpartner,indeprespect,curiosmanners,selfconfobed,empathybehave
3924,11,2,41,3,3,6,4,2,2,5,6,4,3,2,8,3,3,6,3,3,4,4,7,6,2,2,1,1,,1,5,1,2,1,2,1
3925,10,1,31,8,4,4,5,4,4,4,4,4,5,6,2,2,3,6,5,6,6,4,7,5,2,2,2,1,56,54,10,1,2,2,2,2
3925,11,1,32,8,5,1,5,5,5,1,1,1,3,4,6,2,3,7,5,6,7,4,7,5,2,2,2,2,,54,11,1,2,2,2,1
3926,10,1,26,6,3,7,5,3,3,7,7,3,3,10,8,2,1,6,5,6,3,6,7,5,2,2,2,1,56,54,4,0,2,2,2,2
3927,10,1,26,11,3,5,3,3,3,5,5,3,3,8,1,2,4,5,3,5,5,5,5,4,2,2,2,1,18,18,11,0,2,1,2,1
3927,11,1,27,11,3,4,3,3,3,5,5,3,3,7,2,2,3,5,3,5,4,5,5,4,2,1,2,1,,1,10,0,1,1,2,1
3927,12,1,28,10,3,5,3,3,3,5,5,3,3,8,2,2,3,3,3,5,4,3,5,4,2,2,1,1,,1,6,1,2,1,2,1
3928,10,2,50,5,2,6,2,1,1,6,7,2,1,5,8,3,4,4,4,5,5,7,6,5,1,2,1,1,56,54,99,1,1,1,2,1
3929,10,2,29,11,1,6,3,4,3,5,6,5,3,5,2,3,5,7,3,2,6,7,5,3,2,2,2,1,1,25,9,1,2,2,2,2
3929,11,2,30,11,3,5,2,2,2,7,6,6,2,5,0,2,5,7,4,5,5,7,5,3,2,1,1,1,,3,6,0,2,1,2,2
3929,12,2,31,11,2,6,3,3,2,6,5,4,3,7,5,3,4,6,5,4,6,6,5,3,2,1,2,1,,3,6,0,2,1,2,2
3930,10,2,23,1,4,4,4,4,4,4,4,4,4,0,0,4,1,4,4,4,4,4,4,0,2,2,2,2,,54,99,0,2,1,2,2
3931,10,1,49,3,4,4,5,1,4,3,5,4,6,0,9,3,1,5,4,4,4,5,7,4,2,2,2,2,56,54,2,1,2,2,1,2
3931,11,1,50,3,7,2,7,1,7,1,3,7,7,1,9,3,1,5,4,4,4,6,7,5,2,2,2,2,,51,3,1,2,2,2,2
3931,12,1,51,3,7,1,7,7,7,1,1,7,7,0,10,3,1,7,2,7,6,6,7,5,2,2,2,1,,55,2,1,2,2,2,2
3932,10,1,24,2,4,3,7,1,5,3,2,4,5,1,8,2,2,5,1,7,5,3,4,8,2,2,2,1,2,4,4,0,2,2,1,2
3932,11,1,25,7,6,5,7,5,5,4,3,5,5,3,8,3,2,4,6,4,4,2,7,2,2,2,2,2,,4,5,0,2,2,1,2
3932,12,1,26,5,3,4,5,4,3,4,4,3,4,5,5,3,2,5,5,5,6,3,2,7,2,1,1,2,,3,6,0,1,2,2,1
3933,10,2,26,11,4,4,4,4,4,4,4,4,4,7,9,3,5,4,4,4,4,4,4,5,2,2,2,2,54,54,4,0,1,2,2,1
3934,10,1,37,11,3,3,2,5,5,3,4,6,4,7,3,2,5,7,3,4,3,6,5,2,2,2,2,1,3,3,8,0,2,2,2,1
3935,10,2,21,2,4,7,6,3,7,2,4,5,3,10,7,2,1,4,4,2,7,3,2,1,1,2,2,2,,1,1,0,2,2,2,1
3935,11,2,22,2,2,7,5,4,2,4,5,2,3,7,9,3,2,4,7,3,4,2,4,8,2,2,2,2,,1,99,0,2,2,2,2
3936,10,1,50,3,1,7,1,1,2,4,6,7,4,7,9,3,1,7,7,7,7,7,7,5,2,2,2,2,50,4,4,0,2,1,2,1
3936,11,1,51,4,2,7,4,3,6,4,4,7,4,7,5,4,1,7,7,7,5,7,7,5,2,2,2,2,,54,4,0,2,2,2,1
3937,10,2,48,10,3,5,3,4,3,5,6,4,5,6,4,3,1,5,4,4,3,5,6,5,2,2,2,1,3,3,6,0,2,2,2,1
3937,11,2,49,10,3,4,3,3,3,5,5,3,2,5,5,3,2,5,4,4,3,5,6,5,1,2,1,1,,1,7,0,2,2,2,1
3938,10,1,46,3,4,4,4,4,4,4,4,4,4,7,2,2,1,4,6,7,4,4,4,5,1,1,1,1,1,1,1,1,2,2,2,2
3938,11,1,47,3,4,4,4,4,4,4,4,4,4,5,5,1,4,5,4,5,4,4,4,7,1,1,2,1,,1,2,1,2,2,2,2
3938,12,1,48,3,1,5,4,4,7,7,5,5,4,5,5,1,1,4,4,6,2,3,2,6,2,2,2,2,,1,2,1,2,2,2,2
3939,10,2,25,1,5,3,1,3,5,3,2,2,6,9,8,4,3,6,4,1,3,2,5,9,2,2,1,2,,2,2,0,1,2,2,2
3939,11,2,26,11,5,4,3,4,4,5,3,4,3,4,2,4,2,2,4,3,4,1,7,3,2,2,2,2,,54,1,0,2,2,2,2
3939,12,2,27,9,5,3,2,4,4,6,3,4,2,3,3,4,1,5,5,3,3,7,3,3,1,2,2,2,,2,2,0,2,2,2,2
3940,10,2,41,10,3,5,2,3,2,5,6,4,4,5,4,3,2,6,4,7,5,6,6,4,2,2,2,1,,1,9,1,2,2,2,1
3940,11,2,42,10,3,6,4,3,3,4,6,4,4,5,5,3,2,4,4,5,5,5,5,4,2,2,2,2,,1,7,1,1,2,2,1
3940,12,2,43,10,2,3,2,4,3,4,3,5,2,6,7,3,2,4,4,5,6,5,5,3,2,2,2,2,,1,8,1,2,2,1,1
3941,10,2,38,9,1,7,5,1,1,7,7,1,1,5,7,1,1,7,4,1,4,7,6,3,1,1,1,1,3,50,3,1,2,1,2,1
3941,11,2,39,9,1,7,3,2,2,7,7,3,1,5,10,2,1,7,3,4,5,7,4,2,1,1,1,1,,3,8,1,2,1,2,1
3941,12,2,40,9,1,6,3,3,2,7,7,2,1,5,9,2,1,7,5,2,4,7,7,2,2,2,2,1,,3,8,1,2,1,2,1
3942,10,1,18,1,4,3,6,2,2,1,3,7,6,7,7,3,1,4,4,4,4,4,4,1,1,1,2,2,,2,2,1,2,2,2,1
3943,10,2,45,3,2,6,5,3,5,6,6,3,6,7,8,3,1,5,3,3,1,4,5,2,2,2,2,2,1,1,7,1,2,2,2,1
3943,11,2,46,3,2,6,6,3,4,6,6,2,1,8,3,2,2,6,4,4,2,3,5,3,2,2,2,1,,1,6,1,2,2,2,1
3943,12,2,47,3,2,5,6,4,3,5,5,6,2,7,5,2,1,5,6,4,1,2,4,2,2,2,2,2,,1,6,1,2,2,2,2
3944,10,2,36,11,1,1,1,1,1,7,7,2,1,5,5,3,4,5,4,6,4,6,7,5,2,2,1,1,,50,99,1,2,1,2,1
3944,11,2,37,11,1,7,1,1,1,7,7,4,1,5,5,3,5,5,5,6,5,6,7,5,2,2,2,1,,1,99,1,2,2,2,1
3944,12,2,38,11,4,4,4,4,4,4,4,4,4,5,5,3,1,4,7,6,4,6,7,5,2,2,2,2,,55,12,1,2,2,2,1
3945,10,1,27,11,5,5,6,4,5,3,5,5,3,8,4,2,1,6,5,5,4,4,6,6,2,2,2,1,2,4,7,1,2,2,2,1
3945,11,1,28,11,6,2,6,3,6,1,2,5,6,7,7,2,1,6,4,3,3,4,6,6,2,2,2,1,,2,8,1,2,1,1,1
3945,12,1,29,11,5,1,5,7,6,1,2,7,6,4,3,2,1,6,6,5,4,6,6,7,2,2,2,1,,2,7,1,2,1,1,1
3946,10,1,52,3,1,6,1,1,1,6,7,4,1,7,5,2,5,7,5,6,6,7,7,1,2,1,1,1,15,15,99,1,1,1,2,1
3946,11,1,53,5,1,6,1,1,2,6,7,2,1,8,5,2,5,6,6,6,7,7,6,0,1,1,1,1,,15,8,0,1,1,2,1
3946,12,1,54,3,1,7,1,1,1,2,6,4,1,9,5,1,5,7,3,6,3,7,6,0,2,1,1,1,,15,9,1,1,1,2,1
3947,10,2,35,10,4,5,5,3,4,6,5,5,3,5,6,3,1,6,4,5,4,4,6,5,2,2,2,2,56,54,8,1,2,2,2,1
